time CL CT CH
0.0 0.0 0.0 0.0
0.00999999977648 7999999812.83 1102.78812691 8000000915.61
0.019999999553 15999996171.7 5198.96305976 16000001370.7
0.0299999993294 23999986868.1 13796.2688741 24000000664.4
0.0500000007451 39999946779.6 55136.6878118 40000001916.3
0.0900000035763 71999735161.4 266161.332313 72000001322.7
0.170000001788 1.35998661624e+11 1358440.00289 1.36000020064e+11
0.330000013113 2.63993032024e+11 7084332.96897 2.64000116357e+11
0.649999976158 5.19962830009e+11 37802599.5683 5.20000632608e+11
1.28999996185 1.03179722459e+12 206217750.192 1.03200344234e+12
2.28999996185 1.83118230751e+12 826864110.74 1.83200917162e+12
3.28999996185 2.63010639646e+12 1904816003.74 2.63201121247e+12
4.28999996185 3.42849078141e+12 3521376200.62 3.43201215761e+12
5.28999996185 4.22626604716e+12 5746595695.6 4.23201264286e+12
6.28999996185 5.0233701693e+12 8642781397.84 5.0320129507e+12
7.28999996185 5.81974676169e+12 12266479627.5 5.83201324132e+12
8.28999996185 6.61534355719e+12 16669719071.0 6.63201327626e+12
9.28999996185 7.41011251182e+12 21900850446.9 7.43201336226e+12
10.2899999619 8.2040083533e+12 28005144521.3 8.23201349782e+12
11.2899999619 8.99698842154e+12 35025236212.6 9.03201365775e+12
12.2899999619 9.78901217933e+12 43001462680.0 9.83201364201e+12
13.2899999619 1.05800414859e+13 51972136016.1 1.06320136219e+13
14.2899999619 1.13700398426e+13 61973753256.5 1.14320135958e+13
15.2899999619 1.21589725278e+13 73041175551.8 1.22320137033e+13
16.2900009155 1.29468059774e+13 85207773002.1 1.30320137504e+13
17.2900009155 1.3733508067e+13 98505548974.3 1.3832013616e+13
18.2900009155 1.45190484656e+13 1.12965245944e+11 1.46320137115e+13
19.2900009155 1.53033974368e+13 1.28616443385e+11 1.54320138802e+13
20.2900009155 1.60865261556e+13 1.45487615058e+11 1.62320137706e+13
21.2900009155 1.68684074488e+13 1.63606224036e+11 1.70320136729e+13
22.2900009155 1.76490148554e+13 1.82998769674e+11 1.7832013625e+13
23.2900009155 1.84283227769e+13 2.03690843397e+11 1.86320136203e+13
24.2900009155 1.92063064108e+13 2.25707179813e+11 1.94320135906e+13
25.2900009155 1.99829420104e+13 2.49071707749e+11 2.02320137181e+13
26.2900009155 2.07582062047e+13 2.73807560994e+11 2.10320137657e+13
27.2900009155 2.15320765631e+13 2.99937158385e+11 2.18320137215e+13
28.2900009155 2.23045316097e+13 3.27482203399e+11 2.26320138131e+13
29.2900009155 2.30755502626e+13 3.5646373215e+11 2.34320139947e+13
30.2900009155 2.38451114267e+13 3.86902126871e+11 2.42320135536e+13
31.2900009155 2.46131967478e+13 4.1881716113e+11 2.5032013909e+13
32.2900009155 2.53797855454e+13 4.5222800553e+11 2.5832013551e+13
33.2900009155 2.61448606533e+13 4.87153267092e+11 2.66320139204e+13
34.2900009155 2.69084023777e+13 5.23611016943e+11 2.74320133947e+13
35.2900009155 2.767039492e+13 5.61618741815e+11 2.82320136618e+13
36.2900009155 2.84308201725e+13 6.01193490012e+11 2.90320136625e+13
37.2900009155 2.9189661803e+13 6.4235178846e+11 2.98320135915e+13
38.2900009155 2.99469040824e+13 6.85109680086e+11 3.06320137625e+13
39.2900009155 3.07025309919e+13 7.29482781748e+11 3.14320137737e+13
40.2900009155 3.14565275788e+13 7.75486235489e+11 3.22320138143e+13
41.2900009155 3.22088792855e+13 8.23134769716e+11 3.30320140552e+13
42.2900009155 3.2959570744e+13 8.7244271833e+11 3.38320134623e+13
43.2900009155 3.37085898471e+13 9.23424025552e+11 3.46320138726e+13
44.2900009155 3.44559217276e+13 9.76092203259e+11 3.54320139308e+13
45.2900009155 3.52015531097e+13 1.0304604816e+12 3.62320135913e+13
46.2900009155 3.59454724894e+13 1.08654161076e+12 3.70320141001e+13
47.2900009155 3.66876655119e+13 1.14434813056e+12 3.78320136425e+13
48.2900009155 3.74281214517e+13 1.20389218235e+12 3.8632013634e+13
49.2900009155 3.81668281502e+13 1.26518554907e+12 3.94320136993e+13
50.2900009155 3.89037738652e+13 1.32823980444e+12 4.02320136696e+13
51.2900009155 3.96389477333e+13 1.39306612982e+12 4.10320138632e+13
52.2900009155 4.03723383293e+13 1.45967550081e+12 4.18320138302e+13
53.2900009155 4.11039351473e+13 1.52807849526e+12 4.26320136426e+13
54.2900009155 4.18337282468e+13 1.59828556798e+12 4.34320138148e+13
55.2900009155 4.25617070112e+13 1.67030683842e+12 4.42320138496e+13
56.2900009155 4.32878615049e+13 1.74415213448e+12 4.50320136394e+13
57.2900009155 4.40121823026e+13 1.81983117571e+12 4.58320134783e+13
58.2900009155 4.47346605291e+13 1.89735328101e+12 4.66320138101e+13
59.2900009155 4.54552856282e+13 1.976727708e+12 4.74320133362e+13
60.2900009155 4.6174050446e+13 2.05796334126e+12 4.82320137873e+13
61.2900009155 4.68909444164e+13 2.1410689975e+12 4.90320134139e+13
62.2900009155 4.76059606706e+13 2.22605317277e+12 4.98320138434e+13
63.2900009155 4.83190895417e+13 2.31292428345e+12 5.06320138252e+13
64.2900009155 4.90303231176e+13 2.40169045725e+12 5.14320135748e+13
65.2900009155 4.97396542577e+13 2.49235962768e+12 5.22320138854e+13
66.2900009155 5.0447073614e+13 2.58493974246e+12 5.30320133565e+13
67.2900009155 5.11525753344e+13 2.67943833251e+12 5.3832013667e+13
68.2900009155 5.18561511378e+13 2.77586285472e+12 5.46320139926e+13
69.2900009155 5.25577927564e+13 2.87422073749e+12 5.54320134939e+13
70.2900009155 5.32574948415e+13 2.97451896246e+12 5.62320138039e+13
71.2900009155 5.39552492461e+13 3.07676476686e+12 5.7032014013e+13
72.2900009155 5.46510488232e+13 3.18096481185e+12 5.78320136351e+13
